,id,Loai_cho,Chi_tiet,Gioi_tinh,Tuoi,vacxin
0,006934b7ef2e4b4990895879ad0f39e1,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,chưa
1,21dfac4a99bd421a9998e4d94275f855,Chow chow,chó Chow chow,cái,02 tháng,đã tiêm 2 mũi
2,370dfe3334cf4dc9be435e5524a91618,Alaska,chó Alaska Malamute,đực,02 tháng,chưa
3,3b83939d5a514feb905e734f78fb2e6d,Alaska,chó Alaska Malamute,đực,02 tháng,đã tiêm 2 mũi
4,425000816c694d258a30f1f143727f82,Labrador,Labrador Retriever,đực,02 tháng,đã tiêm 2 mũi
5,479dc84c124942269d54b9384378b3bf,Labrador,Labrador Retriever,đực,02 tháng,đã tiêm 2 mũi
6,492823ac22d74a6cabf061e721ce82e9,Poodle,chó Poodle,cái,02 tháng,chưa
7,4dc27c05f9034e73a9b253a4d31c35f4,Poodle,chó Poodle,đực,02 tháng,chưa
8,5521fabb9e81421f93f3645f2cee4800,Poodle,chó Poodle,đực,02 tháng,đã tiêm 2 mũi
9,574ca3092f7c4acb840f48c2232fc865,Basenji,chó Basenji,đực,03 tháng,đã tiêm 2 mũi
10,64b2af3357d14e719a8c2832d624f1db,Poodle,chó Poodle Tiny,đực,02 tháng,đã tiêm 2 mũi
11,6ee77c8517a64c6fa250521c72e51a03,Poodle,chó Poodle Tiny,cái,02 tháng,đã tiêm 2 mũi
12,7387499a4b86405da01bab2d442e8d0a,Shiba Inu,chó Shiba Inu Nhật Bản,03 đực,01 tháng,đã tiêm 2 mũi
13,75276da7237c4709b62990e27963aaf0,Shiba Inu,chó Shiba Inu Nhật Bản,đực,02 tháng,đã tiêm 2 mũi
14,7b4ac82d5ab041579c97b2b04f9403be,Shiba Inu,chó Shiba Inu Nhật Bản,đực,02 tháng,chưa
15,833b1d56570b45f0a8b3e8e20badfa51,Shiba Inu,chó Shiba Inu Nhật Bản,đực,02 tháng,đã tiêm 2 mũi
16,878cae30b57d40b89989d499c1021ee2,Rottweiler,"chó Rottweiler (rott), Màu sắc: đen vàng",cái,02 tháng,đã tiêm 2 mũi
17,8a8d310200f443608aa9d08dcdb7407a,Corgi,chó Corgi Pembroke,01 cái 02 đực Tuổi: 2 tháng tuổi,2 tháng tuổi,đã tiêm 2 mũi
18,91f915a96cc24eadad601429422e615b,Corgi,chó Corgi Pembroke,01 cái 01 đực Tuổi: 2 tháng tuổi,2 tháng tuổi,đã tiêm 2 mũi
19,97697bde93b649a7b88848a95ba741ac,Corgi,chó Corgi Pembroke,đực Tuổi: 2 tháng tuổi,2 tháng tuổi,đã tiêm 2 mũi
20,98c3c55c850f44a889edd0f7142ada91,Corgi,chó Corgi Pembroke,đực Tuổi: 2 tháng tuổi,2 tháng tuổi,đã tiêm 2 mũi
21,af80b715967e4e70bf8c98015be3fc1a,Corgi,chó Corgi Pembroke,cái Tuổi: 2 tháng tuổi,2 tháng tuổi,đã tiêm 2 mũi
22,b5d157093a964da79166b4852d4f662c,Husky,chó Husky Sibir,đực,02 tháng,chưa
23,b5ee13944db5428c81e716a7abb0e1ce,Golden,chó Golden Retriever (Gâu đần),đực,02 tháng,đã tiêm 2 mũi
24,b98025c4615f4f4a8776c18093a71912,Golden,chó Golden Retriever (Gâu đần),đực,02 tháng,đã tiêm 2 mũi
25,cf9343cf950f46788da41a9719e679c4,Alaska,chó Alaska Malamute,đực,02 tháng,chưa
26,d19b546be15543dd9175b1e9be731d3c,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,đã tiêm 2 mũi
27,d214e74dabdb455da36d108bc717f948,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,chưa
28,d556ce1b9a4b4a18bf8bda50c3168c5f,Alaska,chó Alaska Malamute,02 đực,02 tháng,chưa
29,d7b0500eada744a4aa299b0dd55b1864,Corgi,chó Corgi Pembroke,đực,2 tháng tuổi,đã tiêm 2 mũi
30,db3a02f7cf4b404f89ccc30c6729af9f,Corgi,chó Corgi Pembroke,cái,2 tháng tuổi,chưa
31,de8920d815f6425e88ece250e3938bf0,Corgi,chó Corgi Pembroke,cái,2 tháng tuổi,đã tiêm 2 mũi
32,e5785c0f095c4d30a2be718323a044af,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,đã tiêm 2 mũi
33,ed25b3a16a93494794ea66c29d445066,Corgi,chó Corgi Pembroke,đực,2 tháng tuổi,chưa
34,fe1afdc1d8204b2982d88235be65224c,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,đã tiêm 2 mũi
35,2b051b2dc44843d4ace8dd9e91b731bd,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,đã tiêm 2 mũi
36,387e7f422dca494382d6c2886eef2801,Shiba Inu,chó Shiba Inu Nhật Bản,đực,02 tháng,chưa
37,55d19ff104d64a89b23ededfd17734bd,Shiba Inu,chó Shiba Inu Nhật Bản,đực,02 tháng,chưa
38,6b99a189b743456c97bfdd1d059420ac,Shiba Inu,chó Shiba Inu Nhật Bản,đực,02 tháng,đã tiêm 2 mũi
39,844113fa3af9480f99f900c6bbd8334e,Alaska,chó Alaska Malamute size Giant,đực cái,02 tháng,đã tiêm 2 mũi
40,a13c9bf2485e463baf09abb243b30046,Shiba Inu,chó Shiba Inu Nhật Bản,03 đực,02 tháng,đã tiêm 2 mũi
41,a1aab9cac32242e7825662f97586cd7f,Shiba Inu,chó Shiba Inu Nhật Bản,đực cái,02 tháng,chưa
42,a1da87229d4a4298903af0a2a60f7531,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",cái,02 tháng,chưa
43,a4bc86d71344429fbae4572e05436481,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",cái,02 tháng,đã tiêm 2 mũi
44,ab533d1259b14985a748c7906323a407,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",cái,02 tháng,đã tiêm 2 mũi
45,d7612a16abd04a11a99f9aa9072f1fc1,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,chưa
46,ec4e30462fea4aeb8999afd50ff53c14,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,chưa
47,f775e022df6c477faf8f33c80c53e0bd,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,chưa
48,0005c56e185c4cf496ffb19b78606bf2,Shiba Inu,chó Shiba Inu Nhật Bản,đực,02 tháng,đã tiêm 2 mũi
49,02f14e0599a94a6fa371786aafaa7ae7,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,chưa
50,09d58128554e4e858387e82c30604bdc,Chihuahua,chó Chihuahua,đực,02 tháng,đã tiêm 2 mũi
51,169733335be74381bbddf83f267296b0,Shiba Inu,chó Shiba Inu Nhật Bản,cái đực,05 tháng,chưa
52,182b5a60683f4a588d946e31abba8471,Shiba Inu,chó Shiba Inu Nhật Bản,cái,06 tháng,đã tiêm 2 mũi
53,1a37f3b9e8764f44a241f333db51144b,Shiba Inu,chó Shiba Inu Nhật Bản,cái,05 tháng,chưa
54,1adf073dce984bf780d30e8f950a4cc7,Alaska,chó Alaska Malamute size Giant,đực,02 tháng,đã tiêm 2 mũi
55,1cb72bb2b1774001b17acf64cf8988a2,Golden,chó Golden Retriever (Gâu đần),đực,02 tháng,đã tiêm 2 mũi
56,1e16b612d1b2474ea9388a9180e822d7,Alaska,chó Alaska Malamute size Giant,cái,02 tháng,chưa
57,265db58fa6584427b799b9d4edbf0af7,Shiba Inu,chó Shiba Inu Nhật Bản,cái,05 tháng,chưa
58,26f77b81936c43598734bb72f187e0f2,Alaska,chó Alaska Malamute,đực,02 tháng,đã tiêm 2 mũi
59,2806513304db4e2fa48b827f8b67121b,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,chưa
60,2820c5114aef4011924d23326b0a2f43,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,chưa
61,2a44e0de121e4839860ce3bbee883c2f,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,đã tiêm 2 mũi
62,2be0f844a279483c9486fca385ae6c0f,Samoyed,chó Samoyed,01 đực 01 cái,02 tháng,đã tiêm 2 mũi
63,2df000ebd9c744c38eafa0b3b3390d83,Samoyed,chó Samoyed,cái,02 tháng,chưa
64,331e388148224307978f561dbd2f5060,Samoyed,chó Samoyed,đực,02 tháng,đã tiêm 2 mũi
